author,date,description,tags,title
Bruno Ferreira,July 2020,"The Corona Virus - COVID-19 pandemic caused a significant impact on public services. In particular, it brought a massive digitalization of services that were offered in person. In addition, there was a great deal of pressure on official channels, whether to seek a service or to report a fact. Qualified and official information becomes an element in combating the pandemic. Knowing where to look for information, reporting a fact or getting a qualified response are essential steps to maximize the efficiency of the citizen's decision-making process, especially in a scenario of such uncertainty. The State has a fundamental role, whether as an inducer, executor or provider of the means necessary for information and decision-making to be effective at that time.,Connected by the growing demand, the State of Goiás, through the State's Comptroller General, published a series of technological tools with the objective of bringing information to the citizen, promoting social control and improving public policies to fight the Coronavirus.,This document seeks to show how technological tools were adopted and implemented in terms of transforming the ombudsman channels in the State of Goiás through the State's Comptroller General in actions to combat the Coronavirus pandemic. The document seeks to show how the transformation of the ombudsman channels occurred through machine learning techniques and data visualization.","PyPi,PyPy,Python Skills,Python general,R",Digital Transformation in the fight against Coronavirus
Naoise Holohan,July 2020,"Data privacy is having an ever-increasing impact on the way data is stored, processed, accessed and utilised, as the legal and ethical effects of data protection regulations take effect around the globe. Differential privacy, considered by many to be the strongest privacy guarantee currently available, gives robust, provable guarantees on protecting privacy, and allows tasks to be completed on data with guarantees on the privacy of individuals in that data. This naturally extends to machine learning, where training datasets can contain sensitive personal information, that are vulnerable to privacy attacks on trained models.,By using differential privacy in the training process, a machine learning model can be trained to accurately represent the dataset at large, but without inadvertently revealing sensitive information about an individual. Diffprivlib is the first library of its kind to leverage the power of differential privacy with scikit-learn and numpy to give data scientists and researchers access to the tools to train accurate, portable models with robust, provable privacy guarantees built-in.,In this talk, we will introduce attendees to the idea of differential privacy, why it is necessary in today's world, and how diffprivlib can be seamlessly integrated within existing scripts to protect your trained models from privacy vulnerabilities. Attendees will be expected to have a basic understanding of sklearn (i.e., how to initialise, fit and predict a model). No knowledge of data privacy or differential privacy will be assumed or required.","Data Privacy,Data Protection,Machine-Learning,Open-Source,Scientific Libraries (Numpy/Pandas/SciKit/...)",Diffprivlib: Privacy-preserving machine learning with Scikit-learn
Michał Wodyński,July 2020,"In this presentation I will show different packages that are used in Python. I will point out differences and explain the prons and cons of using them during code development. ,	After that we will jump to the topic of virtualenvs and  popular tools that are used for managing them. I will explain what is purpose of the virtualenvs in Python and why we should use them.,	Finally we will focus on the most important topic without which development is not possible – package mangers. Package managers it is wide topic in Python world. There is many package mangers and  currently we have tools like pip, pipenv or poetry but it is not obvious which of them we should use in first place. Which of them are recommended to use? What are prons and cons of certain package mangers? Is there any other not well known packages mangers? How package mangers are packaging Python code? Which of the package mangers are good for data scientists? Is your package manger is resolving dependencies? ,	This questions can appear especially when you are beginner and just to want start working with Python. Unfortunately form the beginning you must face the problem which of the package manger you should use. In this presentation I will answer all of this questions. I will list popular package mangers and some not known. I will show differences and which of them are best for which case. Also I will explain differences between packages that are used by different packages mangers. If you are interested in code development and package mangers or you are just confused which of them you should use this presentation is definitely for you. During this presentation I will answer all questions and I will wipe out all doubts about packages, package mangers and virtualenvs.","Beginners,Conda / conda forge,Development,Packaging,Virtual Env","Difficulties of Python code development:packages,virtualenvs and package mangers"
Marc-Andre Lemburg,July 2020,We need help with organizing and running EuroPython 2021.,"Community,EuroPython,EuroPython Society (EPS)",EuroPython 2021: Help us build the next edition!
"Theofanis Petkos,George Zisopoulos",July 2020,"Undoubtedly this will be the decade of low-cost and high-performance cloud IoT core development.,All cloud IoT solutions will have to meet the same two fundamental requirements: Performance and Data Integrity. Having said that,  AsyncIO comes to mind.,While researching similar topics on cloud IoT solutions, we noticed that the vast majority of such solutions primarily includes performance. In this discussion we would like to demonstrate how you can ensure that a low-cost, fast developed cloud IoT core can ensure that its data is not corrupted and is accurate  for the user.,Technically speaking, it is very interesting to analyze how a bucket of async/await tasks can handle (consume or even produce) messages from or to message queues, interact with other (even non pythonic) modules inside the core, manage socket connections and many other functionalities that make Python3.6+ the heart of any IoT core. Note that it is equally important to check imported data with periodic tasks, acquire statistics from devices and sanitize database data in order to ensure data integrity.,Our goal: Firstly, to encourage new developers to get involved with cloud IoT cores and use Python and AsyncIO as the heart of their core. Secondly, as new developers we would like to show our logic and our prefered python libraries and techniques in order to receive feedback from more experienced developers.,We are a team of software engineers located in Athens, Greece working for a fast growing startup in San Francisco (,). We have developed our own cloud IoT core for a vehicle fleet management SaaS.","ASYNC / Concurreny,Internet of Things (IoT),Python 3,Software Design,Use Case",Ensuring data integrity with asynchronous programming in a cloud IoT core
Krishna Kanta Singh,July 2020,"As Deep Learning Engineer and Researcher we are always trying to optimize some bottleneck computation in our programs. Sometimes we are faced with situations when scientific libraries like NumPy, SciPy aren't just cutting it or worse there are no libraries that implement the esoteric function on our expensive GPU hardware. *Writing Custom C and Cuda Extension becomes an important skill and necessity for applications that require really fast computation. *","C-Languages,Data Science,Deep Learning,GPU,Packaging",Writing Extensions and Bindings for GPU made Easy
lil anonymous,July 2020,"In the last few weeks, one of the largest and most exciting experiments in the history of mankind has taken place, with over  900 million children in over 190 countries being the recipients of online (virtual) education. ",Education,Taking Part in the Greatest Experiment in History
Francesca Tedeschi,July 2020,"This project contains an open source Python library for image reconstruction in Axial Computed Tomography (TAC), based on the analytical Radon transforms of some classes of phantoms. ,The package is available on GitHub at the following address: ,.,The mathematical phantoms are fictitious images, composed of very simple geometric figures (ellipses, squares and rectangles) that, sampled with the Radon transform allows to build a fictitious signal, called (exact) sinogram.  Using a phantom gives the advantage to test the reconstruction algorithm on a zero-noise data so the error we get is only due to numerical inaccuracies in the algorithm itself. We want to calculate two reconstructed images from the approximated and exact sinograms, obtained applying the iradon function of the Python library scikit-image on both of them. We expect a smaller error on the exact reconstructed image. This turns to be true on continuous regions, but near the discontinuities of the phantom the Gibbs phenomenon prevents us to obtain the same enhancement.","Education,Image Processing,Open-Source,Science,Teaching",The Phantom of Radon
Ruud van der Ham,July 2020,"Discrete event simulation is a very powerful technique in many fields, like transport, warehousing, hospitals, manufacturing and logistics.,There are several commercial packages that provide high end GUIs to design a system and to animate the operations. These  packages are neary always close source and are very expensive (think USD 10-20 K per user). Often implementing complex algorithms is cumbersome.,On the other end of the spectrum are open source packages that use existing program languages. Python is particularly interesting because of the vast number of (scientific) packages, like machine learning, statistics and databases.,In te Python landscape there is SimPy, that is rather limited in functionality. In this poster I will present my discrete even simulation package called salabim. Salabim uses coroutines via generators and makes it very easy to model complex systems. The package offers advanced real time (2D) animation, monitoring and statistical sampling.,I will show some applications and how a simple model is built up.","Algorithms,Engineering,Robotics,Use Case,Visualization",Simulation of logistic systems in Python with salabim
Vijay Sajjanar,July 2020,"I guide students in developing systems which are real world and need less hardware. This is possible in 2 steps. One,reduce collecting data which is already available online. Two, compute on cloud instead on the hardware.","Beginners,Case Study,Data,Internet of Things,Web Crawling",Reduce hardware costs in Internet of Things using Python
Priscila Gutierres,July 2020,"Looking at higher redshifts is equivalent to looking back in time: they improve the studies of cosmology, expanding our knowledge of the universe. It allows us to study various physical phenomena like the power spectrum of galaxies which describes the distribution of galaxies on a range of scales, galaxy clustering, and large scales, the detection of the Baryon Acoustic Oscillation feature. ,As a result,  a significant amount of work has been done to increase the efficiency and accuracy of the process via new algorithms and optimization of existing ones.,Astronomical datasets are undergoing a rapid growth in size and complexity as past, ongoing and future surveys produce massive multi-temporal and multi-wavelength datasets, with huge information to be extracted and analyzed.,The alternative to a full spectroscopic survey is to obtain multi-color images of the sky and perform photometric redshift estimates for the galaxies we have available. ,When dealing with this problem, there are two main approaches: model-driven data analysis (template fitting methods) and data-driven analysis, which can use machine learning methods.,To solve this problem, we use data-driven analysis, more specifically GPz (which uses Gaussian processes)  and  ANNz2 (which mainly uses neural networks), both python software.","Big Data,Data,Machine-Learning,Physics",Radio Astronomy with Python
Vinicius Cruvinel Rego,July 2020,"The ESRI main software, ArcGIS, has a consolidated name in the market with many tools and also a complete web service platform called ArcGIS Server.","Django,Django Projects,JavaScript,PostgreSQL,python",Integration between ArcGIS Server (Rest API) and Django
Joseph Song,July 2020,"Serverless functions-as-a-service lets you run event-triggered code without having to explicitly provision or manage infrastructure. While they are powerful, they also have limitations. In this talk, we’ll discuss how Durable Functions can overcome the limitation by extending Azure Functions to let you write stateful functions in a serverless compute environment.","Infrastructure,serverless",Durable Functions: A More Durable Azure Function
Gunjan Dewan,July 2020,"GoJek has millions of monthly active users in Indonesia across our 20+ products and services. A major problem we faced was targeting these customers with promos and vouchers that were relevant to them. We developed a generalized model that takes into account the transaction history of users and gives a ranked list of our services that they are most likely to use next. From here on, we are able to determine the vouchers that we can target these customers with.,In this poster, I will be presenting our process while developing the model, the challenges we faced during the time, how we used PySpark to tackle these challenges and the impact it had on our conversion rates.","Data,Data Science,Machine-Learning",Developing a match-making algorithm between customers and Go-Jek products!
Brilian Putra Amiruddin,July 2020,"Many electrical engineering or control systems engineering students did not know that we can simulate our designed control algorithm with Python language, which is free and open source. In many colleges, to simulate the control algorithm it tends to use a paid programming language, but in many cases, the colleges did not provide the license for the students, so the students cannot afford it and ironically at the end, the students went to do an illegal act (software piracy).","Algorithms,Engineering,Machine-Learning,Programming,Scientific Libraries (Numpy/Pandas/SciKit/...)","Design and Simulate your Control Systems with Python, Why Not?"
Mattia Ferrini,July 2020,"Generative Models are the Swiss Army Knife for the Decision Scientist. Generative models allow the simulation of scenarios based on different business hypotheses (Bayesian priors). With Probabilistic Programming, decision makers can simulate the impact of business drivers in times of great uncertainty.","Data Science,Deep Learning,Functional Programming,Science",Decision Science with Probabilistic Programming
"Martin Christen,Adrian Meyer",July 2020,"A novel method for detecting solar panels and its geometry on aerial imagery is presented. Deep Learning with PyTorch is being used for segmentation. The goal is to know the exact locations, dimensions and potential of every solar installation in Switzerland. It is shown how we labelled the data and how we found a solution to distinguish different solar panel types.","Deep Learning,Machine-Learning",Detecting and Analyzing Solar Panels in Switzerland using Aerial Imagery
Miroslav Šedivý,July 2020,"People have names. Most people do. People have first names and last names. Many people do. People have any sorts of names that often don't fit fixed fields in the forms. These names may contain letters, accented letters, and other characters, that may cause problems to your code depending on the encoding you use. They may look differently in uppercase and lowercase, or may not be case foldable at all. Searching and sorting these names may be tricky too. And if you design an application, web form, and/or database dealing with personal names, you'll have to take that into account.","Diversity,Internationalization,Natural Language Processing,The Answer to Life the Universe and Everything Else,failures/mistakes",Your Name Is Invalid!
Lorenzo Peña,July 2020,"Django is a popular, solid web framework for perfectionists with deadlines, with a wide ecosystem of packages that extend its powers in multiple directions. In the era of peaking popularity of Node/Deno, microservices, and heavyweight browser rendered webapps, Django still remains a triumphant monolith maker, very capable of major undertakings in the web arena.","Abstractions,Architecture,Databases,Django,Django Projects",Yet another package for multi-tenancy in Django
Griffith S Rees,July 2020,Goals: ,"Django,GEO and GIS,Git,Testing,legacy-code",Resurrecting a django project in python 2.7 for 3.8
Prashant Chaubey,July 2020,"Like other programming languages, it is easy to write cryptic, unmaintainable, and rigid Python code. Moreover, in teams, this problem escalates due to varied coding styles of developers. How to ensure code quality and consistency? My goal with this talk is to educate my audience about some tools and libraries that can help us in making our code more consistent. ,I was a Software Engineer who wrote Automation systems in Python for some of the fortune 500s. I intend to cover the following major ideas:,•	What is a high-quality code? How consistency is an important aspect of maintainability?,•	Ways to achieve consistency in Python,	o	What is PEP8?,	o	“pylint” - a source code, bug, and quality checker for python 		and follows the style recommended by PEP 8,	o	What is PEP257? ,	o	“pydocstyle” checks compliance with Python docstring conventions.,	o	What is PEP484? ,	o	“mypy” provides optional static type checking.,	o	“bandit” which can find common security issues in Python code.,	o	“black” which is a Python source code formatter.,•	Ways to integrate mentioned tools in development life cycle ,	o	While writing (IDE extensions),	o	During commit (pre-commit hooks),	o	After push (Build pipelines),•	“pre-commit” is a framework for managing and maintaining multi-language pre-commit hooks,•	Example of an Azure DevOps pipeline integrating all mentioned tools.,pylint, pydocstyle, mypy, bandit, black and pre-commit are available on PyPI. My audience should know how to install Python libraries from PyPi using pip.","Best Practice,Code Analysis,Documentation,Static Analysis,Type-Hinting",Writing Good Python
Smit Thakkar,July 2020,Abstractions make things appear simple. This is one of the main concepts behind OOP. So what is it?! This talk will provide some guidelines on how to build abstractions that are extendable and scalable. ,Clean Code,Writing Clean Abstractions
vincent warmerdam,July 2020,This will be a technical talk where I'll explain the inner workings of the machine learning algorithms inside of Rasa. In particular I'll talk about why the transformer has become a part in many of our algorithms and has replaced RNNs. These include use-cases in natural language processing but also in dialogue handling. ,"Algorithms,Deep Learning,Natural Language Processing",Why Transformers Work
Tam-Sanh Nguyen,July 2020,"The goal of this talk is to introduce data pipeline developers to Quantum Black's approach for keeping data pipelines healthy and sustainable and facilitating collaboration between data scientists and data engineers by using our open source framework, Kedro. Attendees need between novice and intermediate knowledge of Python (enough to understand syntactic sugar and funargs) in order to appreciate this talk.","Best Practice,Data,Development,Open-Source,python",Writing and Scaling Collaborative Data Pipelines with Kedro
Michael Howitz,July 2020,In this talk I am going to present possible approaches for a Python 3 migration of existing Python code running on Python 2.7. I'll evaluate which of these approaches seems suitable for a large code base and which principles should be paid attention to to increase the probability of a successful migration project.,"Best Practice,Development,Python 2,Python 3,legacy-code",We have nearly one million lines of Python 2 code in production – and now?
Hui Xiang Chua,July 2020,"Data cleaning is one of the most important tasks in data science but it is unglamorous, underappreciated and under-discussed. These are some common tasks involved in data cleaning but not limited to: ,-	Merging/ appending,-	Checking completeness of data,-	Checking of valid values,-	De-duplication,-	Handling of missing values,-	Recoding","Beginners,Data,Data Science,Scientific Libraries (Numpy/Pandas/SciKit/...),Use Case",Top 15 Python Tips for Data Cleaning/ Understanding
Ben Nuttall,July 2020,There is a wealth of amazing tools freely available to open source software developers to use to maintain their projects. Practically every problem we face or are likely to face in software development has been lived through and solved many times over. Patterns emerge for dealing with development practises and we build our software using the tools made by the previous generation of developers.,"Community,Documentation,Git,Open-Source,Test Libraries (pytest/nose/...)",Tools for maintaining an open source Python project
Shreya Khurana,July 2020,"Natural language processing has seen leaps of technology progress with Machine Learning becoming the norm of solving the major problems in this area, with Machine translation being one of the major problems in this area. Neural machine translation systems are now used to convert sentences or phrases from one language to another, or in general, for sequence to sequence modeling. In this talk, we’ll be covering the steps from scratch to preprocess, train and serve a NMT model using PyTorch. While building a highly accurate model is a prerequisite to getting good quality translations, often in industry, we also need to make sure we can serve the model to customers without getting timeouts or delays. The practice of serving models requires creating a web app to get client requests and process them in a way the model would understand. For this, we’ll use  the various components of the application server environment - Flask, Docker, uwsgi and nginx. This talk is suitable for audience who is working in general with ML models and want to learn how to serve them or working specifically with NMT and want to learn about some quick prototyping tips. ","Data Science,Deep Learning,Machine-Learning,Natural Language Processing,Web Servers and MicroFWs (Flask/Tornado/Nginx/...)","Train. Serve. Deploy! Story of a NLP Model ft. PyTorch, Docker, Uwsgi and Nginx"
Nisarg Shah,July 2020,"GraphQL technology has become popular nowadays. While developing REST APIs, there are many things that developers need to take into consideration. There are multiple endpoints and over-fetching is the main problem of REST. GraphQL offers a unique approach and architecture for developing APIs. How is that efficient?","APIs,Databases,Django,PostgreSQL,Python 3",Developing GraphQL API in Django using Graphene
Serge Sans Paille,July 2020,"In spite of the dynamic nature of their favorite language, some Python developer have a huge desire to statically analyse it. This can indeed be useful for linters, type inference, auto-completion and all the tooling some developers expect from modern IDE.,We all know that lazy binding prevents even the simplest function call or attribute lookup to be reliably analyzed. Yet we try. And Python as this fabulous ``ast`` module, saving us from writing a parser! Isn't that a strong incentive to do static analysis?",Compiler and Interpreters,Tooling for Static Analysis of Python Programs
Mason Egger,July 2020,"It’s no surprise why many of us are so enamored with Python. Its simplicity, accessibility, and community make it a prime choice for many projects. However, not all software engineering shops use Python, maybe even some of the jobs you work at. Introducing Python to your company and building a Pythonic culture from the ground up is no small task, but it can be done. Join me as I take you through the journey of getting Python from zero to hero within my previous company. I’ll share the experience from start to finish, including what worked, what didn’t, what I would have done differently, and how I evangelized Python to bring it to be a supported language within my company’s ecosystem. Viewers will leave having learned from my experiences—both successes and mistakes—and with a solid plan for implementing Python at their job.","Business,Business Cases,The Answer to Life the Universe and Everything Else,Use Case,failures/mistakes",There’s a Snake in the Birdhouse!
Bence Arató,July 2020,"Python offers many different data visualization libraries, and the sheer number of alternatives  can be daunting to newcomers.","Analytics,Data,Data Science,Visualization",The Python Data Visualization Landscape in 2020
"Victoriya Fedotova,Frank Schlimbach",July 2020,"Python is the lingua franca for data analytics and machine learning. Its superior productivity makes it the preferred tool for prototyping. However, traditional Python packages are not necessarily designed to provide high performance and scalability for large datasets.,From this talk you will learn how to get close-to-native performance with Intel-optimized packages, such as numpy, scipy, and scikit-learn. The next part of the talk is focused on getting high performance and scalability from multi-cores on a single machine to large clusters of workstations. It will be demonstrated that with Python it is possible to achieve the same performance and scalability as with hand-tuned C++/MPI code:,-	Scalable Dataframe Compiler (SDC) makes possible to efficiently load and process huge datasets using pandas/Python.,-	A convenient Python API to data analytics and machine learning primitives (daal4py). While its interface is scikit-learn-like, its MPI-based engine allows to scale machine learning algorithms to bare-metal cluster performance.,-	From the talk you will learn how to use SDC and daal4py together to build an end-to-end analytics pipeline that scales to clusters, requiring only minimal code changes.","Analytics,Big Data,Distributed Systems,Machine-Learning,Scientific Libraries (Numpy/Pandas/SciKit/...)",The Painless Route in Python to Fast and Scalable Machine Learning
Radosław Ganczarek,July 2020,"They say measuring code quality by its LOC is like measuring aircraft quality by its weight. There's a lot of sense in the metaphor, as we often call inefficient code with words like ""heavy"" or ""bloated"".,In my talk I'll tell you about my approach to deleting unneeded code, tools that could help you and how did it turned out in the end in real world projects.,As you probably know, detecting unused code automatically is a hard task and doing it in Python is exceptionally hard because we sometimes call methods with getattr or write classes which are only used in non-python configuration files. Tools give us only a partial success. What you could do beyond them? What approach to take? I'd like to discuss it in detail in my talk.","Architecture,Best Practice,Clean Code,Code Analysis,Programming",The joy of deleting code
Jason McDonald,July 2020,"There's a profound gap between working code and Pythonic code. To the developer whose first language is NOT Python, the distinction can appear blurry, even arbitrary. What is this ""one obvious way"" all those Python nerds are going on about?","Beginners,Clean Code,Python 3,Python general,The Answer to Life the Universe and Everything Else",Writing Zenlike Python
Vinayak Mehta,July 2020,"Command-line applications and interfaces are used by both newcomers and experienced Python developers everyday. But do you know how they came to be? Hop on to this ship as we go through the CLI galaxy and look at its history, explore the CLI anatomy and discover some Python packages that can help us create them.","Command-Line,Development,Python general,The Answer to Life the Universe and Everything Else,Tooling",The Hitchhiker's Guide to CLIs in Python
Elizaveta Shashkova,July 2020,"Many people like Python for its simplicity and beauty. But every statement in Python, even the simple one, produces a lot of events during the program execution. These events are usually hidden from a user, so it helps developers to skip low-level implementation details and focus on bigger things.","Debugging,Development,Python general,Tooling",The Hidden Power of the Python Runtime
Stefan Baerisch,July 2020,"What do we do when the only test requirements we have are ""the new system should have the exact same results as the old system""? Golden Master Testing may help.,The idea behind golden master testing, also called characterization testing, is quite simple: We don't write test cases that specify what the expected result is. Instead, we take the output from a prior, working version of a program (the golden master) and compare it to the result of the current version. If there is a difference between the output of the current system and the golden master, we may have found a bug.","Best Practice,Test Libraries (pytest/nose/...),Testing,Tooling",Tests that (Almost) Write Themselves
Bhagvan Kommadi,July 2020,"We have built an AI-powered platform (python & django) for doctor's community and Telehealth support for patients during COVID-19 lockdown. The doctor's community interacts related to cases and triage for different patient cases. They can extend Telehealth support using medical practice management solutions. Patients can order medicines online through integrated pharmacies on the platform. AI Platform has digital, voice, and knowledge assistants to provide information to the doctor. Historical,data is used for predictive analytics by the machine learning platform. The platform helps healthcare enterprises in the following:,1. Deploy voice tech to facilitate clinical documentation,2. Reduce physician's administrative burden,3. Increase patient volume and billable revenue,4. Eliminate transcription costs,5. Voice to increase touchpoints and increase patient engagement","Algorithms,Deep Learning,Django,HTML5,Python 3",Telehealth Platform : Python & Django powered
Jeffrey Mew,July 2020,"Jupyter Notebooks and interactive programming have become one of the most popular tools for developing Python due to its flexibility and ease of use. Visual Studio Code now offers a first class Notebooks experience along with many great features for Data Scientists and Python developers alike. Come see how you can explore, experiment and productionize machine learning models using the flexibility of Notebooks combined with the power and productivity of VS Code. Along the way we’ll also be connecting to several Azure services from within VS Code, including Azure Virtual Machines for running the training job, Azure Storage for storing the dataset and model, Azure Functions for deploying our model and endpoint, and Azure Web Service for running a web application for making predictions.","Data Science,Jupyter","Supercharge your Data Science workflow with Notebooks, VS Code, and Azure"
Dustin Ingram,July 2020,"Python is well-known as a programming language without static types. This means that you don’t need to say what a given variable will hold, or whether your function will return a string or an integer (or sometimes one, and sometimes another!). This has historically made Python a very flexible and beginner-friendly language.","Python 3,Static Analysis,Tooling,Type-Hinting,python",Static Typing in Python
Brendan Tierney,July 2020,"Most developers are familiar with SQL for accessing and retrieving data. Over the past few years the SQL language has developed significantly with many features available for analyzing data in a more efficient manner. This presentation will focus on some of the newer SQL analytical functions, what they do and what problems they can be used for. With efficient use of SQL analytical functions, means less data to process in our Python programmes, and with quicker results, means it is a win-win for us. Do More with Less by using SQL analytical functions.","Analytics,Data,Databases",SQL for Data Science: Using Analytical Function
Petertc Chu,July 2020,"The talk will be a getting start guide on controlling hardware devices with Python. We know Python users are very keen on multitasking and always wish to know more about how it can be used in different tasks. This talk will help audiences exploring new Python skillset. Audiences may be inspired by this talk and apply it to many scenarios about automation, testing, and monitoring. ","CPython,Hardware/IoT,Other Hardware,Unix,python",Speak Python with Devices
Chin Hwee Ong,July 2020,"In a data science project, one of the biggest bottlenecks (in terms of time) is the constant wait for the data processing code to finish executing. Slow code, as well as connectivity issues, affect every step of a typical data science workflow — be it for network I/O operations or computation-driven workloads. In this talk, I will be sharing about common bottlenecks in data processing within a typical data science workflow, and exploring the use of parallel and asynchronous programming using concurrent.futures module in Python to speed up your data processing pipelines so that you could focus more on getting value out of your data. Through real-life analogies, you will learn about:","ASYNC / Concurreny,Data,Data Science,Multi-Processing,Multi-Threading",Speed Up Your Data Processing
Olga Matoula,July 2020,"Have you ever imagined life without your tests breaking due to an external dependency having changed? My team chased the dream. We used mocks, stubs, other dependency isolation techniques, and the result was … a lot of ugly tests.","Clean Code,System Architecture,TDD,Test Libraries (pytest/nose/...),Testing",Social distancing from your system’s dependencies: An API’s Story
"JunWei Song,KunYu Chen",July 2020,,"Mobile,Open-Source,Security,Static Analysis","So, You Want to Build an Anti-Virus Engine?"
Sarah Gibson,July 2020,"As reproducibility gains traction in the data science and research communities, the need to package code, data and the computational environment is growing.","Best Practice,Data Science,Jupyter,Open-Source,Public Cloud (AWS/Google/...)",Sharing Reproducible Python Environments with Binder
Neeraj Pandey,July 2020,"Art is everywhere and it’s beautiful. Unleash the creative artist inside you with the beauty of Generative Art. Learn how algorithms are used to create these aesthetic art forms, how motion and structures emit sounds and what toolkits are required to do so. This talk looks at Python as an artistic and visual programming language with the simplicity and beauty of generative art using Processing, PyCairo and webGL. The audience will see an evolution of generative art over the last 50 years, how autonomously these art forms are created using algorithms and how we can stimulate paints and other media. The talk will be showing how to create artworks inspired by geometric and mathematical patterns which also includes randomness with hands-on examples (Two such examples are added , ). This talk will also show the use of genetic algorithms to replicate images with various generations and how audio-reactive visuals are created using Python.","Algorithms,Analytics,JavaScript,Physics,Python 3",The Joy of Creating Art with Code.
Sean Walsh,July 2020,Serverless is revolutionary and will dominate the future of Cloud. Function-as-a-Service (FaaS) however—with its stateless and short-lived functions is only the first step. ,"Cross-Platform-Development,Development,Distributed Systems,Public Cloud (AWS/Google/...)",Serverless 2.0 with Cloudstate.io-stateful functions with Python
Camila Maia,July 2020,"In the current IT scenario, the use of APIs is, without question, widely vast, popular, and significant. It seems at least prudent to ensure they are working properly, as expected. To guarantee the quality of the data that is being consumed or used. To ensure that communication between services is occurring as expected. To ensure the system does, in fact, what it should do.","APIs,Open-Source,RESTful,Test Libraries (pytest/nose/...),Testing",ScanAPI
Adinata,July 2020,"I will share on how to utilize serverless architecture for a less common scenario - unit testing.,As part of the talk, we will also discuss different approaches to parallelizing unit test suite execution.,Attendees will also learns on cost-benefit analysis related to increasing developer productivity.","Case Study,Multi-Processing,Public Cloud (AWS/Google/...),Test Libraries (pytest/nose/...),Tooling",Running Unit Test on Top of Serverless Service
